Latitude,Longitude,District,TOPSIS_Score,MARCOS_Score,VIKOR_Score,WASPAS_Score
31.53079658,75.07399203,Amritsar II Tahsil,0.754560839,0.6573076446,0.8989061374,1.235020711
31.5312711,75.09265543,Baba Bakala Tahsil,0.8598390733,0.6641747217,0.8847397645,1.242622235
31.55363907,74.68920453,Amritsar I Tahsil,0.8201780717,0.6641851371,0.1338307635,1.679210195
31.55423809,74.71928672,Amritsar I Tahsil,0.8641067926,0.6671224819,0.1410386824,1.665847998
31.56490415,74.71193161,Amritsar I Tahsil,0.8914097221,0.6713052141,0.1121449048,1.682798734
31.56794622,74.72778529,Amritsar I Tahsil,0.8698968863,0.6676215749,0.1201999338,1.660187119
31.56826409,74.68575319,Amritsar I Tahsil,0.9024261667,0.6756435444,0.07681589313,1.700757359
31.5683042,74.83850559,Amritsar I Tahsil,0.4991061994,0.6550612502,0.6867170541,1.336866128
31.57416403,74.70843082,Amritsar I Tahsil,0.8865378786,0.6701260349,0.08249510407,1.694403841
31.57795673,74.78875918,Amritsar I Tahsil,0.9140302266,0.6726708125,0.5423549208,1.459356431
31.57925391,74.78370285,Amritsar I Tahsil,0.8872855383,0.6677055843,0.5144268408,1.474433999
31.58077394,74.70230051,Amritsar I Tahsil,0.9005052258,0.6737173481,0.1154440558,1.690014848
31.58116224,74.64485257,Amritsar I Tahsil,0.8073490396,0.6647412507,0.04387212222,1.758066656
31.58360024,74.66297516,Amritsar I Tahsil,0.8213821803,0.6652098165,0.0622966798,1.745856426
31.58453553,74.75431866,Amritsar I Tahsil,0.6993460389,0.6600346048,0.3415279713,1.560605526
31.5878845,74.72561407,Amritsar I Tahsil,0.8843087879,0.6692251398,0.1908196713,1.658264161
31.5889059,74.69953562,Amritsar I Tahsil,0.8454619769,0.66576982,0.1425793772,1.68579879
31.59176403,74.82937581,Amritsar I Tahsil,0.5407665558,0.6561069781,0.7107237944,1.349920367
31.59259574,74.88131048,Amritsar I Tahsil,0.5481731472,0.6541456913,0.7096820444,1.315548596
31.59365916,74.97335728,Amritsar II Tahsil,0.3094977771,0.6533601902,0.8423490209,1.268082419
31.59579448,75.02255194,Amritsar II Tahsil,0.8156072836,0.660285735,0.8648717925,1.264071094
31.60020003,74.62900506,Amritsar I Tahsil,0.8890046534,0.6713449472,0.001890669379,1.780677639
31.6056619,74.99138438,Amritsar II Tahsil,0.4966469912,0.6546515717,0.8496190672,1.274634039
31.60698198,74.96597635,Amritsar II Tahsil,0.9014145719,0.6695555732,0.8055404231,1.304994207
31.61012469,75.04565696,Amritsar II Tahsil,0.8890971853,0.6685930752,0.8969300838,1.246469627
31.61126461,74.72418076,Amritsar I Tahsil,0.2185016183,0.6553823147,0.347606641,1.559185784
31.61202816,75.09064259,Baba Bakala Tahsil,0.6362199865,0.6532784338,0.9760926714,1.187760831
31.6123072,74.58488591,Amritsar I Tahsil,0.9085564488,0.6753128184,0.01420328082,1.781988526
31.61295819,74.73069231,Amritsar I Tahsil,0.8646683546,0.6662257535,0.3637636706,1.568293589
31.61296546,75.04695608,Amritsar II Tahsil,0.8613028108,0.663384075,0.9033321995,1.242169001
31.61312749,74.65031606,Amritsar I Tahsil,0.8390519661,0.6659261947,0.08180729504,1.726495424
31.6163584,75.05101774,Amritsar II Tahsil,0.08769331711,0.6516342694,0.9389195352,1.207036067
31.61817157,75.05763315,Amritsar II Tahsil,0.09881029128,0.6515261217,0.9446571478,1.203500315
31.6183345,74.55846159,Amritsar I Tahsil,0.8824171481,0.6706100809,0.08322358812,1.76416168
31.61878615,74.6389599,Amritsar I Tahsil,0.8833587188,0.6702772033,0.06174495318,1.745317648
31.61938419,74.6622018,Amritsar I Tahsil,0.8939637279,0.6726148174,0.1385719878,1.699704865
31.62124385,74.70378993,Amritsar I Tahsil,0.8906568913,0.6717856162,0.2096611192,1.644554522
31.62270727,75.06517808,Baba Bakala Tahsil,0.7151004613,0.6562414603,0.9626922791,1.204241046
31.62744163,74.94944889,Amritsar II Tahsil,0.6978222346,0.6557676724,0.8200960707,1.288723171
31.62830036,74.70234249,Ajnala Tahsil,0.8648221022,0.6669080442,0.2034657546,1.632328106
31.63064733,74.80353073,Amritsar I Tahsil,0.9028651576,0.6754120682,0.6822134239,1.368411608
31.63090599,74.64750249,Ajnala Tahsil,0.8219124409,0.6646776339,0.1078084279,1.704915626
31.63194918,74.68023818,Ajnala Tahsil,0.7535612557,0.661442103,0.1634421976,1.651987184
31.63240381,74.75663303,Amritsar I Tahsil,0.537604129,0.6569141446,0.5008656727,1.476831634
31.63419133,75.09185699,Baba Bakala Tahsil,0.8506044858,0.6617598092,1,1.176729851
31.63422184,74.83924727,Amritsar I Tahsil,0.9082540592,0.6760407144,0.7274244949,1.343235028
31.63423492,75.09412339,Baba Bakala Tahsil,0.8715708752,0.6655887595,0.9933879827,1.180242932
