city,date,hour,NDVI,.geo
Amritsar,2024-05-01,10:30,0.1144323671,"{""type"":""Point"",""coordinates"":[74.6290050614105,31.60020003323066]}"
Amritsar,2024-05-01,10:30,0.1270408957,"{""type"":""Point"",""coordinates"":[74.63462066256217,31.779857242344193]}"
Amritsar,2024-05-01,10:30,0.1151870873,"{""type"":""Point"",""coordinates"":[74.6371564236077,31.748063918159666]}"
Amritsar,2024-05-01,10:30,0.1643835616,"{""type"":""Point"",""coordinates"":[74.63730415693912,31.881839705496393]}"
Amritsar,2024-05-01,10:30,0.1456582633,"{""type"":""Point"",""coordinates"":[74.63786349076781,31.789253596789475]}"
Amritsar,2024-05-01,10:30,0.1038979447,"{""type"":""Point"",""coordinates"":[74.63864355204916,31.759537839340624]}"
Amritsar,2024-05-01,10:30,0.1373544342,"{""type"":""Point"",""coordinates"":[74.63895989677772,31.618786149856135]}"
Amritsar,2024-05-01,10:30,0.1377805486,"{""type"":""Point"",""coordinates"":[74.6448525740363,31.581162241428792]}"
Amritsar,2024-05-01,10:30,0.2762015055,"{""type"":""Point"",""coordinates"":[74.64750248765307,31.630905993683584]}"
Amritsar,2024-05-01,10:30,0.1406044678,"{""type"":""Point"",""coordinates"":[74.6477381964126,31.680266773074308]}"
Amritsar,2024-05-01,10:30,0.201462766,"{""type"":""Point"",""coordinates"":[74.64845944902473,31.584401252471253]}"
Amritsar,2024-05-01,10:30,0.100045683,"{""type"":""Point"",""coordinates"":[74.64890773570788,31.820788938812232]}"
Amritsar,2024-05-01,10:30,0.1629139073,"{""type"":""Point"",""coordinates"":[74.65031606146542,31.613127487361577]}"
Amritsar,2024-05-01,10:30,0.09689061632,"{""type"":""Point"",""coordinates"":[74.65500087460576,31.82780131131927]}"
Amritsar,2024-05-01,10:30,0.1256593236,"{""type"":""Point"",""coordinates"":[74.6556204520443,31.722103654738472]}"
Amritsar,2024-05-01,10:30,0.1721895324,"{""type"":""Point"",""coordinates"":[74.65568329065471,31.687504131955798]}"
Amritsar,2024-05-01,10:30,0.1172433514,"{""type"":""Point"",""coordinates"":[74.6598886261986,31.726155728999707]}"
Amritsar,2024-05-01,10:30,0.115727003,"{""type"":""Point"",""coordinates"":[74.66220180093347,31.619384191430804]}"
Amritsar,2024-05-01,10:30,0.2811288572,"{""type"":""Point"",""coordinates"":[74.66297516028428,31.58360024171835]}"
Amritsar,2024-05-01,10:30,0.1038115038,"{""type"":""Point"",""coordinates"":[74.6634934880108,31.654289809626093]}"
Amritsar,2024-05-01,10:30,0.1590682196,"{""type"":""Point"",""coordinates"":[74.6667781563771,31.909368058077828]}"
Amritsar,2024-05-01,10:30,0.2354596623,"{""type"":""Point"",""coordinates"":[74.66694074603443,31.806970677331012]}"
Amritsar,2024-05-01,10:30,0.1528397264,"{""type"":""Point"",""coordinates"":[74.66694846711329,31.706835054759352]}"
Amritsar,2024-05-01,10:30,0.2612181741,"{""type"":""Point"",""coordinates"":[74.66752307562426,31.75662602667857]}"
Amritsar,2024-05-01,10:30,0.09534368071,"{""type"":""Point"",""coordinates"":[74.67234218379726,31.698761383656795]}"
Amritsar,2024-05-01,10:30,0.1529042386,"{""type"":""Point"",""coordinates"":[74.6731738458978,31.76999589494981]}"
Amritsar,2024-05-01,10:30,0.4065180103,"{""type"":""Point"",""coordinates"":[74.67567071480815,31.90850887283303]}"
Amritsar,2024-05-01,10:30,0.1400529678,"{""type"":""Point"",""coordinates"":[74.6770728210533,31.55617752055172]}"
Amritsar,2024-05-01,10:30,0.2300816767,"{""type"":""Point"",""coordinates"":[74.67738108650424,31.698921441113747]}"
Amritsar,2024-05-01,10:30,0.134781948,"{""type"":""Point"",""coordinates"":[74.67795816977387,31.751025648910435]}"
Amritsar,2024-05-01,10:30,0.1972234797,"{""type"":""Point"",""coordinates"":[74.68023818328172,31.63194918197957]}"
Amritsar,2024-05-01,10:30,0.2617180984,"{""type"":""Point"",""coordinates"":[74.68310519752825,31.711037063610913]}"
Amritsar,2024-05-01,10:30,0.1526661797,"{""type"":""Point"",""coordinates"":[74.68441522393576,31.83757472282275]}"
Amritsar,2024-05-01,10:30,0.09614461686,"{""type"":""Point"",""coordinates"":[74.68575318557603,31.568264088892963]}"
Amritsar,2024-05-01,10:30,0.1099239113,"{""type"":""Point"",""coordinates"":[74.68579117098653,31.676940397906996]}"
Amritsar,2024-05-01,10:30,0.3074278882,"{""type"":""Point"",""coordinates"":[74.68595548098469,31.74877780817053]}"
Amritsar,2024-05-01,10:30,0.1816091954,"{""type"":""Point"",""coordinates"":[74.68812504414755,31.90763729999894]}"
Amritsar,2024-05-01,10:30,0.1774415406,"{""type"":""Point"",""coordinates"":[74.68920452764188,31.553639065035636]}"
Amritsar,2024-05-01,10:30,0.2378423237,"{""type"":""Point"",""coordinates"":[74.6896887815344,31.816771806962837]}"
Amritsar,2024-05-01,10:30,0.1102280581,"{""type"":""Point"",""coordinates"":[74.69380532103834,31.870779434840045]}"
Amritsar,2024-05-01,10:30,0.2464528069,"{""type"":""Point"",""coordinates"":[74.69453210276073,31.61913422118304]}"
Amritsar,2024-05-01,10:30,0.1885196375,"{""type"":""Point"",""coordinates"":[74.69730565448569,31.905923913570497]}"
Amritsar,2024-05-01,10:30,0.4101945194,"{""type"":""Point"",""coordinates"":[74.69791620486217,31.6307390501596]}"
Amritsar,2024-05-01,10:30,0.1224430158,"{""type"":""Point"",""coordinates"":[74.69953561578394,31.58890589615898]}"
Amritsar,2024-05-01,10:30,0.09290917199,"{""type"":""Point"",""coordinates"":[74.70230051015676,31.580773938693543]}"
Amritsar,2024-05-01,10:30,0.1075697211,"{""type"":""Point"",""coordinates"":[74.70234248567398,31.628300359370268]}"
Amritsar,2024-05-01,10:30,0.2859890991,"{""type"":""Point"",""coordinates"":[74.70305782867085,31.760671759322243]}"
Amritsar,2024-05-01,10:30,0.2307410796,"{""type"":""Point"",""coordinates"":[74.70358583217701,31.86551532080484]}"
Amritsar,2024-05-01,10:30,0.117211329,"{""type"":""Point"",""coordinates"":[74.70378992563329,31.62124385458206]}"
Amritsar,2024-05-01,10:30,0.1264957265,"{""type"":""Point"",""coordinates"":[74.70444723630015,31.817035231473263]}"
Amritsar,2024-05-01,10:30,0.178282514,"{""type"":""Point"",""coordinates"":[74.70786945407825,31.76386628898291]}"
Amritsar,2024-05-01,10:30,0.1975702354,"{""type"":""Point"",""coordinates"":[74.7082563604073,31.72322350154525]}"
Amritsar,2024-05-01,10:30,0.1237893995,"{""type"":""Point"",""coordinates"":[74.70826748203532,31.84564621051204]}"
Amritsar,2024-05-01,10:30,0.1169924812,"{""type"":""Point"",""coordinates"":[74.7084308210539,31.57416402529827]}"
Amritsar,2024-05-01,10:30,0.09285395929,"{""type"":""Point"",""coordinates"":[74.70973921966319,31.64713879474963]}"
Amritsar,2024-05-01,10:30,0.148627451,"{""type"":""Point"",""coordinates"":[74.71113223868043,31.79306118574246]}"
Amritsar,2024-05-01,10:30,0.1025937552,"{""type"":""Point"",""coordinates"":[74.71193160868057,31.56490414959414]}"
