Latitude,Longitude,District,TOPSIS_Score
31.57795673,74.78875918,Amritsar I Tahsil,0.9159050308274016
31.63422184,74.83924727,Amritsar I Tahsil,0.9103908757899264
31.6123072,74.58488591,Amritsar I Tahsil,0.9078406911137248
31.63064733,74.80353073,Amritsar I Tahsil,0.9051637940568011
31.60698198,74.96597635,Amritsar II Tahsil,0.9036805709777503
31.56826409,74.68575319,Amritsar I Tahsil,0.9018694594106031
31.58077394,74.70230051,Amritsar I Tahsil,0.9002518479001119
31.60503535,74.82556806,Amritsar I Tahsil,0.8958882747759173
31.61938419,74.6622018,Amritsar I Tahsil,0.8937750758463414
31.56490415,74.71193161,Amritsar I Tahsil,0.8907663392618861
31.62124385,74.70378993,Amritsar I Tahsil,0.8907021611383584
31.61012469,75.04565696,Amritsar II Tahsil,0.8905709092596731
31.60020003,74.62900506,Amritsar I Tahsil,0.8887091153980233
31.57925391,74.78370285,Amritsar I Tahsil,0.8885866391849815
31.51656763,74.62681448,Amritsar I Tahsil,0.8872362176746994
31.57416403,74.70843082,Amritsar I Tahsil,0.8860781039722705
31.5878845,74.72561407,Amritsar I Tahsil,0.8842860919255888
31.59064024,74.93274927,Amritsar I Tahsil,0.8836005059977785
31.61878615,74.6389599,Amritsar I Tahsil,0.8831226766423288
31.6183345,74.55846159,Amritsar I Tahsil,0.8812678023924798
31.55577505,74.62800712,Amritsar I Tahsil,0.8794904883003808
31.51521254,74.59125331,Amritsar I Tahsil,0.8793950869763527
31.5740862,74.60900359,Amritsar I Tahsil,0.8793538717474454
31.63423492,75.09412339,Baba Bakala Tahsil,0.8725590905647423
31.60860838,74.83394668,Amritsar I Tahsil,0.8713927062044187
31.56794622,74.72778529,Amritsar I Tahsil,0.8695405640750848
31.54427183,74.95232099,Amritsar II Tahsil,0.8672209537903489
31.51632067,74.9449792,Amritsar II Tahsil,0.866260417126252
31.61295819,74.73069231,Amritsar I Tahsil,0.86517925071136
31.62830036,74.70234249,Ajnala Tahsil,0.864896743291585
31.52415483,74.59386307,Amritsar I Tahsil,0.8641590976271646
31.61885196,74.76475454,Amritsar I Tahsil,0.8638327676505654
31.55423809,74.71928672,Amritsar I Tahsil,0.8635490405938341
31.56125826,74.92069112,Amritsar I Tahsil,0.8627510667573514
31.56509246,74.61611407,Amritsar I Tahsil,0.8627463887131273
31.61296546,75.04695608,Amritsar II Tahsil,0.8625585895818536
31.5312711,75.09265543,Baba Bakala Tahsil,0.8603580322744473
31.5439769,74.84860982,Amritsar I Tahsil,0.8547000909102351
31.58842311,74.62420361,Amritsar I Tahsil,0.8516420976861253
31.63419133,75.09185699,Baba Bakala Tahsil,0.8515949332060557
31.60311126,75.03976999,Amritsar II Tahsil,0.8511985136980641
31.55356335,74.91381366,Amritsar I Tahsil,0.8491314012772627
31.55617752,74.67707282,Amritsar I Tahsil,0.8481323836004384
31.61485106,75.08496149,Baba Bakala Tahsil,0.8476416109193073
31.5889059,74.69953562,Amritsar I Tahsil,0.8454155905751121
31.57759874,75.01116903,Amritsar II Tahsil,0.841272287883663
31.5435759,74.8747404,Amritsar I Tahsil,0.8399268544866435
31.61312749,74.65031606,Amritsar I Tahsil,0.8389507951045297
31.62995073,74.84355828,Amritsar I Tahsil,0.8357273046172595
31.63090599,74.64750249,Ajnala Tahsil,0.8218692627871755
31.58360024,74.66297516,Amritsar I Tahsil,0.8212940121691433
31.55363907,74.68920453,Amritsar I Tahsil,0.8196826359742702
31.57802689,74.98925087,Amritsar II Tahsil,0.8195372012847917
31.59579448,75.02255194,Amritsar II Tahsil,0.8164510699169142
31.55942442,74.9720495,Amritsar II Tahsil,0.8132456094946596
31.58778616,74.96896506,Amritsar II Tahsil,0.8117111047705661
31.58116224,74.64485257,Amritsar I Tahsil,0.8072597821420049
31.58624006,75.07534689,Amritsar II Tahsil,0.8064011004263001
31.562473,75.0258073,Amritsar II Tahsil,0.799094624850651
31.61412437,74.80202525,Amritsar I Tahsil,0.777833909722651
31.59851498,74.79426495,Amritsar I Tahsil,0.7712892962664282
31.52867663,74.92355003,Amritsar I Tahsil,0.7655177643556356
31.58440125,74.64845945,Amritsar I Tahsil,0.7618176960930758
31.53079658,75.07399203,Amritsar II Tahsil,0.7550955617634943
31.5876748,75.06322382,Amritsar II Tahsil,0.7536232324116031
