Coordinate,Date,Hour,NDVI Values,City
"(74.50143603904418, 31.722538520140073)",2024-05-01,10:30,0.1703216374,Amritsar
"(74.50143603904418, 31.722538520140073)",2024-05-06,10:30,0.1664516129,Amritsar
"(74.50143603904418, 31.722538520140073)",2024-05-11,10:30,0.1513728324,Amritsar
"(74.50143603904418, 31.722538520140073)",2024-05-16,10:30,0.1319712866,Amritsar
"(74.50143603904418, 31.722538520140073)",2024-05-21,10:30,0.126542122,Amritsar
"(74.50143603904418, 31.722538520140073)",2024-05-26,10:30,0.1374456994,Amritsar
"(74.50143603904418, 31.722538520140073)",2024-05-31,10:30,0.03571428571,Amritsar
"(74.50593276509852, 31.70933442874771)",2024-05-01,10:30,0.2363572557,Amritsar
"(74.50593276509852, 31.70933442874771)",2024-05-06,10:30,0.2186723465,Amritsar
"(74.50593276509852, 31.70933442874771)",2024-05-11,10:30,0.2082622055,Amritsar
"(74.50593276509852, 31.70933442874771)",2024-05-16,10:30,0.1478228369,Amritsar
"(74.50593276509852, 31.70933442874771)",2024-05-21,10:30,0.1404255319,Amritsar
"(74.50593276509852, 31.70933442874771)",2024-05-26,10:30,0.1638723634,Amritsar
"(74.50593276509852, 31.70933442874771)",2024-05-31,10:30,0.1335949497,Amritsar
"(74.52542296042772, 31.72727785512936)",2024-05-01,10:30,-0.03654143078,Amritsar
"(74.52542296042772, 31.72727785512936)",2024-05-06,10:30,-0.06097271649,Amritsar
"(74.52542296042772, 31.72727785512936)",2024-05-11,10:30,-0.01787101787,Amritsar
"(74.52542296042772, 31.72727785512936)",2024-05-16,10:30,-0.03971441321,Amritsar
"(74.52542296042772, 31.72727785512936)",2024-05-21,10:30,-0.05793103448,Amritsar
"(74.52542296042772, 31.72727785512936)",2024-05-26,10:30,-0.02075971731,Amritsar
"(74.52542296042772, 31.72727785512936)",2024-05-31,10:30,-0.02222222222,Amritsar
"(74.53255896950066, 31.701259153530124)",2024-05-01,10:30,0.1138734105,Amritsar
"(74.53255896950066, 31.701259153530124)",2024-05-06,10:30,0.1013022618,Amritsar
"(74.53255896950066, 31.701259153530124)",2024-05-11,10:30,0.07371941024,Amritsar
"(74.53255896950066, 31.701259153530124)",2024-05-16,10:30,0.07162726008,Amritsar
