Latitude,Longitude,District,VIKOR_Score
31.60020003,74.62900506,Amritsar I Tahsil,0.0018906693793957856
31.6123072,74.58488591,Amritsar I Tahsil,0.014203280819936014
31.58116224,74.64485257,Amritsar I Tahsil,0.04387212221834315
31.61878615,74.6389599,Amritsar I Tahsil,0.06174495317727309
31.58360024,74.66297516,Amritsar I Tahsil,0.062296679799779146
31.56826409,74.68575319,Amritsar I Tahsil,0.07681589313484549
31.61312749,74.65031606,Amritsar I Tahsil,0.08180729504495968
31.57416403,74.70843082,Amritsar I Tahsil,0.08249510407099361
31.6183345,74.55846159,Amritsar I Tahsil,0.08322358811948855
31.63090599,74.64750249,Ajnala Tahsil,0.10780842794327272
31.56490415,74.71193161,Amritsar I Tahsil,0.11214490484952257
31.58077394,74.70230051,Amritsar I Tahsil,0.11544405581321543
31.56794622,74.72778529,Amritsar I Tahsil,0.12019993384973547
31.55363907,74.68920453,Amritsar I Tahsil,0.13383076353504575
31.61938419,74.6622018,Amritsar I Tahsil,0.13857198777734506
31.55423809,74.71928672,Amritsar I Tahsil,0.1410386823540482
31.5889059,74.69953562,Amritsar I Tahsil,0.14257937719722957
31.63194918,74.68023818,Ajnala Tahsil,0.163442197557317
31.5878845,74.72561407,Amritsar I Tahsil,0.19081967127206406
31.62830036,74.70234249,Ajnala Tahsil,0.20346575458309168
31.62124385,74.70378993,Amritsar I Tahsil,0.2096611191936411
31.58453553,74.75431866,Amritsar I Tahsil,0.34152797131903156
31.61126461,74.72418076,Amritsar I Tahsil,0.34760664102194494
31.61295819,74.73069231,Amritsar I Tahsil,0.36376367059525205
31.63240381,74.75663303,Amritsar I Tahsil,0.5008656727202175
31.57925391,74.78370285,Amritsar I Tahsil,0.5144268407855292
31.57795673,74.78875918,Amritsar I Tahsil,0.5423549208102865
31.63064733,74.80353073,Amritsar I Tahsil,0.6822134239089543
31.5683042,74.83850559,Amritsar I Tahsil,0.6867170541175776
31.59259574,74.88131048,Amritsar I Tahsil,0.7096820443517937
31.59176403,74.82937581,Amritsar I Tahsil,0.7107237944386058
31.63422184,74.83924727,Amritsar I Tahsil,0.7274244948646718
31.60698198,74.96597635,Amritsar II Tahsil,0.8055404231256016
31.62744163,74.94944889,Amritsar II Tahsil,0.8200960707061005
31.59365916,74.97335728,Amritsar II Tahsil,0.8423490208799838
31.6056619,74.99138438,Amritsar II Tahsil,0.8496190671569758
31.59579448,75.02255194,Amritsar II Tahsil,0.8648717925294258
31.5312711,75.09265543,Baba Bakala Tahsil,0.8847397645002448
31.61012469,75.04565696,Amritsar II Tahsil,0.8969300838274445
31.53079658,75.07399203,Amritsar II Tahsil,0.8989061373830797
31.61296546,75.04695608,Amritsar II Tahsil,0.9033321994639287
31.6163584,75.05101774,Amritsar II Tahsil,0.9389195351709676
31.61817157,75.05763315,Amritsar II Tahsil,0.9446571477623562
31.62270727,75.06517808,Baba Bakala Tahsil,0.9626922791066085
31.61202816,75.09064259,Baba Bakala Tahsil,0.976092671449523
31.63423492,75.09412339,Baba Bakala Tahsil,0.9933879826579517
31.63419133,75.09185699,Baba Bakala Tahsil,1.0
