Latitude,Longitude,District,WASPAS_Score
31.6123072,74.58488591,Amritsar I Tahsil,1.781988526372205
31.60020003,74.62900506,Amritsar I Tahsil,1.7806776394313295
31.6183345,74.55846159,Amritsar I Tahsil,1.7641616803534683
31.58116224,74.64485257,Amritsar I Tahsil,1.758066655766022
31.58360024,74.66297516,Amritsar I Tahsil,1.7458564264385148
31.61878615,74.6389599,Amritsar I Tahsil,1.745317647796211
31.61312749,74.65031606,Amritsar I Tahsil,1.7264954237326369
31.63090599,74.64750249,Ajnala Tahsil,1.7049156255841793
31.56826409,74.68575319,Amritsar I Tahsil,1.7007573585690725
31.61938419,74.6622018,Amritsar I Tahsil,1.6997048645293709
31.57416403,74.70843082,Amritsar I Tahsil,1.6944038411634221
31.58077394,74.70230051,Amritsar I Tahsil,1.6900148483303803
31.5889059,74.69953562,Amritsar I Tahsil,1.6857987900086804
31.56490415,74.71193161,Amritsar I Tahsil,1.6827987340863964
31.55363907,74.68920453,Amritsar I Tahsil,1.6792101949097098
31.55423809,74.71928672,Amritsar I Tahsil,1.665847997542851
31.56794622,74.72778529,Amritsar I Tahsil,1.6601871187339814
31.5878845,74.72561407,Amritsar I Tahsil,1.6582641611609177
31.63194918,74.68023818,Ajnala Tahsil,1.6519871835484667
31.62124385,74.70378993,Amritsar I Tahsil,1.6445545215861217
31.62830036,74.70234249,Ajnala Tahsil,1.6323281055823928
31.61295819,74.73069231,Amritsar I Tahsil,1.568293588613324
31.58453553,74.75431866,Amritsar I Tahsil,1.5606055255072564
31.61126461,74.72418076,Amritsar I Tahsil,1.5591857842437715
31.63240381,74.75663303,Amritsar I Tahsil,1.4768316341381058
31.57925391,74.78370285,Amritsar I Tahsil,1.4744339992230913
31.57795673,74.78875918,Amritsar I Tahsil,1.459356431296111
31.63064733,74.80353073,Amritsar I Tahsil,1.3684116083159426
31.59176403,74.82937581,Amritsar I Tahsil,1.3499203667875883
31.63422184,74.83924727,Amritsar I Tahsil,1.3432350280924499
31.5683042,74.83850559,Amritsar I Tahsil,1.3368661280455052
31.59259574,74.88131048,Amritsar I Tahsil,1.3155485964613325
31.60698198,74.96597635,Amritsar II Tahsil,1.3049942072745864
31.62744163,74.94944889,Amritsar II Tahsil,1.2887231707929105
31.6056619,74.99138438,Amritsar II Tahsil,1.2746340387252828
31.59365916,74.97335728,Amritsar II Tahsil,1.2680824190097104
31.59579448,75.02255194,Amritsar II Tahsil,1.2640710939161275
31.61012469,75.04565696,Amritsar II Tahsil,1.2464696267199296
31.5312711,75.09265543,Baba Bakala Tahsil,1.242622235128022
31.61296546,75.04695608,Amritsar II Tahsil,1.242169001425106
31.53079658,75.07399203,Amritsar II Tahsil,1.235020711286615
31.6163584,75.05101774,Amritsar II Tahsil,1.2070360665077982
31.62270727,75.06517808,Baba Bakala Tahsil,1.2042410464567228
31.61817157,75.05763315,Amritsar II Tahsil,1.2035003146100967
31.61202816,75.09064259,Baba Bakala Tahsil,1.187760830943347
31.63423492,75.09412339,Baba Bakala Tahsil,1.1802429323256316
31.63419133,75.09185699,Baba Bakala Tahsil,1.1767298505564072
