Latitude,Longitude,District,TOPSIS_Score
31.63422184,74.83924727,Amritsar I Tahsil,0.996662275699847
31.63064733,74.80353073,Amritsar I Tahsil,0.9960070558115568
31.56826409,74.68575319,Amritsar I Tahsil,0.9784235701144166
31.57795673,74.78875918,Amritsar I Tahsil,0.9670263695974998
31.58077394,74.70230051,Amritsar I Tahsil,0.9659865127634616
31.60698198,74.96597635,Amritsar II Tahsil,0.9631904058945225
31.6123072,74.58488591,Amritsar I Tahsil,0.9626724915250102
31.61012469,75.04565696,Amritsar II Tahsil,0.9608776829518967
31.62124385,74.70378993,Amritsar I Tahsil,0.9586023278522449
31.61938419,74.6622018,Amritsar I Tahsil,0.958132134452393
31.63423492,75.09412339,Baba Bakala Tahsil,0.9497919346142839
31.56490415,74.71193161,Amritsar I Tahsil,0.9481115383203622
31.51656763,74.62681448,Amritsar I Tahsil,0.9465715990506052
31.54427183,74.95232099,Amritsar II Tahsil,0.9441887854827556
31.60503535,74.82556806,Amritsar I Tahsil,0.9395986055111823
31.59064024,74.93274927,Amritsar I Tahsil,0.9386816682060573
31.51632067,74.9449792,Amritsar II Tahsil,0.9371102122327877
31.57416403,74.70843082,Amritsar I Tahsil,0.932963849509686
31.51521254,74.59125331,Amritsar I Tahsil,0.9308844584127135
31.60020003,74.62900506,Amritsar I Tahsil,0.9301637018129596
31.55577505,74.62800712,Amritsar I Tahsil,0.9265518803543304
31.61878615,74.6389599,Amritsar I Tahsil,0.9264938265592296
31.5878845,74.72561407,Amritsar I Tahsil,0.9253947397272962
31.5312711,75.09265543,Baba Bakala Tahsil,0.9216072215321987
31.56125826,74.92069112,Amritsar I Tahsil,0.9210111015299751
31.5740862,74.60900359,Amritsar I Tahsil,0.9191163973083462
31.57925391,74.78370285,Amritsar I Tahsil,0.9179856759292429
31.6183345,74.55846159,Amritsar I Tahsil,0.9160717245776372
31.56794622,74.72778529,Amritsar I Tahsil,0.9106197062559288
31.60860838,74.83394668,Amritsar I Tahsil,0.9095852605044028
31.63419133,75.09185699,Baba Bakala Tahsil,0.9078618687378793
31.61296546,75.04695608,Amritsar II Tahsil,0.9077721776555192
31.62830036,74.70234249,Ajnala Tahsil,0.9076387871116102
31.61295819,74.73069231,Amritsar I Tahsil,0.9053737181732654
31.55423809,74.71928672,Amritsar I Tahsil,0.9047974065676888
31.61485106,75.08496149,Baba Bakala Tahsil,0.9011585486009845
31.52415483,74.59386307,Amritsar I Tahsil,0.8995305169319212
31.55356335,74.91381366,Amritsar I Tahsil,0.8992535509207427
31.61885196,74.76475454,Amritsar I Tahsil,0.8988451764479838
31.56509246,74.61611407,Amritsar I Tahsil,0.8959835896595991
31.60311126,75.03976999,Amritsar II Tahsil,0.8918067390282584
31.5439769,74.84860982,Amritsar I Tahsil,0.8848137402214726
31.5435759,74.8747404,Amritsar I Tahsil,0.8800094657496699
31.55617752,74.67707282,Amritsar I Tahsil,0.8796914237378142
31.58842311,74.62420361,Amritsar I Tahsil,0.8780056313824531
31.57759874,75.01116903,Amritsar II Tahsil,0.8779123691478163
31.5889059,74.69953562,Amritsar I Tahsil,0.8778197967696494
31.61312749,74.65031606,Amritsar I Tahsil,0.8678471877048417
31.62995073,74.84355828,Amritsar I Tahsil,0.8655433073056894
31.55942442,74.9720495,Amritsar II Tahsil,0.8518307766887415
31.57802689,74.98925087,Amritsar II Tahsil,0.8486457887693869
31.63090599,74.64750249,Ajnala Tahsil,0.8472480223666917
31.55363907,74.68920453,Amritsar I Tahsil,0.8455884473236274
31.58360024,74.66297516,Amritsar I Tahsil,0.8445290925313951
31.59579448,75.02255194,Amritsar II Tahsil,0.8415323368100908
31.58624006,75.07534689,Amritsar II Tahsil,0.8414990457959842
31.58778616,74.96896506,Amritsar II Tahsil,0.8344403447928093
31.562473,75.0258073,Amritsar II Tahsil,0.8287656348110528
31.58116224,74.64485257,Amritsar I Tahsil,0.8270911184797255
31.61412437,74.80202525,Amritsar I Tahsil,0.7937716291730504
31.52867663,74.92355003,Amritsar I Tahsil,0.7932554176803178
31.59851498,74.79426495,Amritsar I Tahsil,0.7856180593031876
31.53079658,75.07399203,Amritsar II Tahsil,0.7776794737434337
31.55950931,75.08153183,Amritsar II Tahsil,0.7766959553634927
31.58440125,74.64845945,Amritsar I Tahsil,0.7763378588303501
31.5876748,75.06322382,Amritsar II Tahsil,0.7763034653997208
31.63194918,74.68023818,Ajnala Tahsil,0.7690793730550223
31.57847211,75.01548279,Amritsar II Tahsil,0.7627636887614337
31.62270727,75.06517808,Baba Bakala Tahsil,0.7318871526137416
31.60853028,74.84806908,Amritsar I Tahsil,0.7183503711363274
31.62744163,74.94944889,Amritsar II Tahsil,0.7097043327540068
31.58453553,74.75431866,Amritsar I Tahsil,0.7063791284879939
31.62992022,74.77388602,Amritsar I Tahsil,0.7038101903996301
31.61913422,74.6945321,Ajnala Tahsil,0.6991557344860292
31.59820869,74.93628025,Amritsar I Tahsil,0.6813780638992177
31.5876061,74.60374502,Amritsar I Tahsil,0.6798231291784367
31.58407716,74.77115998,Amritsar I Tahsil,0.6705821347309849
31.61873629,74.81880151,Amritsar I Tahsil,0.6527940618884812
31.61202816,75.09064259,Baba Bakala Tahsil,0.6495508274429413
31.61435788,74.83177063,Amritsar I Tahsil,0.6451597114047806
31.6001665,74.80806262,Amritsar I Tahsil,0.6376498401535327
31.57085477,74.94019705,Amritsar I Tahsil,0.6322840333483477
31.55252382,74.95269094,Amritsar II Tahsil,0.6262356832345838
31.55699489,74.62396037,Amritsar I Tahsil,0.6168375852347296
